song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"School Is Out","Gary U.S. Bonds",,1961.62,4
"You Don't Know What You've Got (Until You Lose It)","Ral Donner",Heartache,1961.64,4
"Don't Bet Money Honey","Linda Scott",Heartache,1961.66,2
"Hurt","Timi Yuro",Heartache,1961.66,3
"Take Good Care Of My Baby","Bobby Vee",Heartache,1961.67,7
"My True Story","The Jive Five|Joe Rene And Orchestra",Heartache,1961.67,4
"As If I Didn't Know","Adam Wade",Serenade,1961.67,2
"Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)","Lonnie Donegan And His Skiffle Group",,1961.69,4
"Little Sister","Elvis Presley",Pursuit,1961.69,4
"Who Put The Bomp (In The Bomp, Bomp, Bomp)","Barry Mann",,1961.69,2
"(Marie's The Name) His Latest Flame","Elvis Presley",Heartache,1961.71,2
"When We Get Married","The Dreamlovers",Serenade,1961.71,1
"Crying","Roy Orbison",Heartache,1961.71,5
"Without You","Johnny Tillotson",Heartache,1961.71,2
"One Track Mind","Bobby Lewis",Pursuit,1961.71,1
"The Mountain's High","Dick and DeeDee",It's Complicated,1961.73,3
"Bristol Stomp","The Dovells",,1961.75,9
"You Must Have Been A Beautiful Baby","Bobby Darin",Serenade,1961.75,3
"Mexico","Bob Moore and His Orch.",,1961.75,3
"Hit The Road Jack","Ray Charles",Good Riddance,1961.75,8
"Runaround Sue","Dion",Good Riddance,1961.77,9
"Let's Get Together","Hayley Mills|Hayley Mills",,1961.77,3
"Big Bad John","Jimmy Dean",,1961.79,10
"Sad Movies (Make Me Cry)","Sue Thompson",Heartache,1961.79,5
"Ya Ya","Lee Dorsey",,1961.79,3
"I Love How You Love Me","The Paris Sisters",Serenade,1961.81,3
"The Fly","Chubby Checker",,1961.81,5
"This Time","Troy Shondell",Heartache,1961.81,6
"Fool #1","Brenda Lee",Heartache,1961.85,5
"Tower Of Strength","Gene McDaniels",Serenade,1961.85,5
"Please Mr. Postman","The Marvelettes",Heartache,1961.87,7
"Goodbye Cruel World","James Darren",,1961.89,7
"Heartaches","The Marcels",Heartache,1961.9,1
"Crazy","Patsy Cline",Heartache,1961.9,2
"I Understand (Just How You Feel)","The G-Clefs",Serenade,1961.92,1
"Walk On By","Leroy Van Dyke",Heartache,1961.92,8
"Happy Birthday, Sweet Sixteen","Neil Sedaka",Serenade,1961.94,6
"Let There Be Drums","Sandy Nelson",,1961.94,3
"Run To Him","Bobby Vee",Pursuit,1961.94,6
"The Lion Sleeps Tonight","The Tokens",,1961.94,8
"Tonight","Ferrante & Teicher",,1961.94,1
"Peppermint Twist - Part I","Joey Dee & the Starliters",,1961.96,11
"Can't Help Falling In Love","Elvis Presley|The Jordanaires",Serenade,1961.98,8
"Unchain My Heart","Ray Charles",Heartache,1962.02,2
"When I Fall In Love","The Lettermen",Serenade,1962.02,3
"When The Boy In Your Arms (Is The Boy In Your Heart)","Connie Francis",Serenade,1962.04,1
"I Know (You Don't Love Me No More)","Barbara George",Heartache,1962.04,6
"Norman","Sue Thompson",Pursuit,1962.05,7
"The Wanderer","Dion",Sexual Confidence,1962.07,7
"Baby It's You","The Shirelles",Serenade,1962.07,2
"Duke Of Earl","Gene Chandler",Serenade,1962.09,8
"Break It To Me Gently","Brenda Lee",Heartache,1962.09,7
"A Little Bitty Tear","Burl Ives",Heartache,1962.11,2
"Dear Lady Twist","Gary U.S. Bonds",,1962.11,3
"Crying In The Rain","The Everly Brothers",Heartache,1962.13,5
"Hey! Baby","Bruce Channel",Pursuit,1962.15,8
"Chip Chip","Gene McDaniels",Serenade,1962.17,1
"Midnight In Moscow","Kenny Ball and his Jazzmen",,1962.17,7
"What's Your Name","Don & Juan",Pursuit,1962.19,4
"Her Royal Majesty","James Darren",Serenade,1962.19,3
"Don't Break The Heart That Loves You","Connie Francis",It's Complicated,1962.19,6
"Let Me In","The Sensations",Pursuit,1962.19,4
"Percolator (Twist)","Billy Joe & The Checkmates",,1962.21,1
"Slow Twistin'","Chubby Checker|Dee Dee Sharp",,1962.23,7
"Twistin' The Night Away","Sam Cooke",,1962.23,2
"Dream Baby (How Long Must I Dream)","Roy Orbison",Heartache,1962.23,3
"Johnny Angel","Shelley Fabares",Heartache,1962.25,9
"Good Luck Charm","Elvis Presley|The Jordanaires",Serenade,1962.25,7
"Young World","Rick Nelson",Serenade,1962.27,4
"Love Letters","Ketty Lester",Heartache,1962.27,3
